=== Monitoring started at Mon May 26 02:06:11 EDT 2025 ===
--- 2025-05-26 02:06:11 ---
  66888  80 ptlrpcd_01_37   I
  66889  93 ptlrpcd_01_38   I
  66890  94 ptlrpcd_01_39   I
  66891 115 ptlrpcd_01_40   I
  66892 119 ptlrpcd_01_41   I
  66893  79 ptlrpcd_01_42   I
  66894 118 ptlrpcd_01_43   I
  66895  94 ptlrpcd_01_44   I
  66896 105 ptlrpcd_01_45   I
  66897  89 ptlrpcd_01_46   I
  66898 106 ptlrpcd_01_47   I
  66899 120 ptlrpcd_01_48   I
  66900  82 ptlrpcd_01_49   I
  66901 122 ptlrpcd_01_50   I
  66902  71 ptlrpcd_01_51   I
  66903  68 ptlrpcd_01_52   I
  66904 125 ptlrpcd_01_53   I
  66905  70 ptlrpcd_01_54   I
  66906  80 ptlrpcd_01_55   I
  66907 121 ptlrpcd_01_56   I
  66908 110 ptlrpcd_01_57   I
  66909  93 ptlrpcd_01_58   I
  66910  77 ptlrpcd_01_59   I
  66911  86 ptlrpcd_01_60   I
  66912 124 ptlrpcd_01_61   I
  66913 127 ptlrpcd_01_62   I
  66914  84 ptlrpcd_01_63   I
  67440  37 monitor_ptlrpcd S
  67441  13 monitor_ptlrpcd S

--- 2025-05-26 02:06:13 ---
  66786  96 ptlrpcd_rcv     I
  66787  10 ptlrpcd_00_00   I
  66788  21 ptlrpcd_00_01   I
  66789  13 ptlrpcd_00_02   I
  66790  57 ptlrpcd_00_03   I
  66791  53 ptlrpcd_00_04   I
  66792  23 ptlrpcd_00_05   I
  66793  47 ptlrpcd_00_06   I
  66794  61 ptlrpcd_00_07   I
  66795  14 ptlrpcd_00_08   I
  66796   1 ptlrpcd_00_09   I
  66797   4 ptlrpcd_00_10   I
  66798   5 ptlrpcd_00_11   I
  66799  54 ptlrpcd_00_12   I
  66800  29 ptlrpcd_00_13   I
  66801  13 ptlrpcd_00_14   I
  66802  32 ptlrpcd_00_15   I
  66803  20 ptlrpcd_00_16   I
  66804  16 ptlrpcd_00_17   I
  66805   8 ptlrpcd_00_18   I
  66806   6 ptlrpcd_00_19   I
  66807  28 ptlrpcd_00_20   I
  66808  50 ptlrpcd_00_21   I
  66809   1 ptlrpcd_00_22   I
  66810  53 ptlrpcd_00_23   I
  66811  29 ptlrpcd_00_24   I
  66812  31 ptlrpcd_00_25   I
  66813  24 ptlrpcd_00_26   I
  66814  33 ptlrpcd_00_27   I
  66815  52 ptlrpcd_00_28   I
  66816  38 ptlrpcd_00_29   I
  66817  51 ptlrpcd_00_30   I
  66818  20 ptlrpcd_00_31   I
  66819  43 ptlrpcd_00_32   I
  66820  47 ptlrpcd_00_33   I
  66821   7 ptlrpcd_00_34   I
  66822  42 ptlrpcd_00_35   I
  66823  32 ptlrpcd_00_36   I
  66824   4 ptlrpcd_00_37   I
  66825  49 ptlrpcd_00_38   I
  66826  45 ptlrpcd_00_39   I
  66827  40 ptlrpcd_00_40   I
  66828  26 ptlrpcd_00_41   I
  66829  47 ptlrpcd_00_42   I
  66830  62 ptlrpcd_00_43   I
  66831  33 ptlrpcd_00_44   I
  66832  29 ptlrpcd_00_45   I
  66833  31 ptlrpcd_00_46   I
  66834   5 ptlrpcd_00_47   I
  66835  52 ptlrpcd_00_48   I
  66836  51 ptlrpcd_00_49   I
  66837  46 ptlrpcd_00_50   I
  66838   6 ptlrpcd_00_51   I
  66839  59 ptlrpcd_00_52   I
  66840  20 ptlrpcd_00_53   I
  66841  16 ptlrpcd_00_54   I
  66842  12 ptlrpcd_00_55   I
  66843  49 ptlrpcd_00_56   I
  66844  42 ptlrpcd_00_57   I
  66845  35 ptlrpcd_00_58   I
  66846  56 ptlrpcd_00_59   I
  66847  63 ptlrpcd_00_60   I
  66848   6 ptlrpcd_00_61   I
  66849  51 ptlrpcd_00_62   I
  66850  22 ptlrpcd_00_63   I
  66851  66 ptlrpcd_01_00   I
  66852 101 ptlrpcd_01_01   I
  66853  86 ptlrpcd_01_02   I
  66854  65 ptlrpcd_01_03   I
  66855 120 ptlrpcd_01_04   I
  66856  79 ptlrpcd_01_05   I
  66857 100 ptlrpcd_01_06   I
  66858 113 ptlrpcd_01_07   I
  66859  84 ptlrpcd_01_08   I
  66860  67 ptlrpcd_01_09   I
  66861 121 ptlrpcd_01_10   I
  66862 118 ptlrpcd_01_11   I
  66863  87 ptlrpcd_01_12   I
  66864 113 ptlrpcd_01_13   I
  66865  93 ptlrpcd_01_14   I
  66866  85 ptlrpcd_01_15   I
  66867  69 ptlrpcd_01_16   I
  66868  73 ptlrpcd_01_17   I
  66869 103 ptlrpcd_01_18   I
  66870  81 ptlrpcd_01_19   I
  66871  94 ptlrpcd_01_20   I
  66872  83 ptlrpcd_01_21   I
  66873  96 ptlrpcd_01_22   I
  66874 106 ptlrpcd_01_23   I
  66875  95 ptlrpcd_01_24   I
  66876  64 ptlrpcd_01_25   I
  66877 114 ptlrpcd_01_26   I
  66878 126 ptlrpcd_01_27   I
  66879 102 ptlrpcd_01_28   I
  66880  70 ptlrpcd_01_29   I
  66881 103 ptlrpcd_01_30   I
  66882  86 ptlrpcd_01_31   I
  66883  83 ptlrpcd_01_32   I
  66884 114 ptlrpcd_01_33   I
  66885  90 ptlrpcd_01_34   I
  66886 116 ptlrpcd_01_35   I
  66887 119 ptlrpcd_01_36   I
  66888  80 ptlrpcd_01_37   I
  66889  93 ptlrpcd_01_38   I
  66890  94 ptlrpcd_01_39   I
  66891 115 ptlrpcd_01_40   I
  66892 119 ptlrpcd_01_41   I
  66893  79 ptlrpcd_01_42   I
  66894 118 ptlrpcd_01_43   I
  66895  94 ptlrpcd_01_44   I
  66896 105 ptlrpcd_01_45   I
  66897  89 ptlrpcd_01_46   I
  66898 106 ptlrpcd_01_47   I
  66899 120 ptlrpcd_01_48   I
  66900  82 ptlrpcd_01_49   I
  66901 122 ptlrpcd_01_50   I
  66902  71 ptlrpcd_01_51   I
  66903  68 ptlrpcd_01_52   I
  66904 125 ptlrpcd_01_53   I
  66905  70 ptlrpcd_01_54   I
  66906  80 ptlrpcd_01_55   I
  66907 121 ptlrpcd_01_56   I
  66908 110 ptlrpcd_01_57   I
  66909  93 ptlrpcd_01_58   I
  66910  77 ptlrpcd_01_59   I
  66911  86 ptlrpcd_01_60   I
  66912 124 ptlrpcd_01_61   I
  66913 127 ptlrpcd_01_62   I
  66914  84 ptlrpcd_01_63   I
  67440  37 monitor_ptlrpcd S
  67441  40 monitor_ptlrpcd S

--- 2025-05-26 02:06:14 ---
  66786  96 ptlrpcd_rcv     I
  66787  54 ptlrpcd_00_00   I
  66788  21 ptlrpcd_00_01   I
  66789  51 ptlrpcd_00_02   I
  66790  58 ptlrpcd_00_03   I
  66791  51 ptlrpcd_00_04   I
  66792  52 ptlrpcd_00_05   I
  66793  47 ptlrpcd_00_06   I
  66794  62 ptlrpcd_00_07   I
  66795  14 ptlrpcd_00_08   I
  66796   2 ptlrpcd_00_09   I
  66797   4 ptlrpcd_00_10   I
  66798   5 ptlrpcd_00_11   I
  66799  54 ptlrpcd_00_12   I
  66800  29 ptlrpcd_00_13   I
  66801  12 ptlrpcd_00_14   I
  66802  39 ptlrpcd_00_15   I
  66803  20 ptlrpcd_00_16   I
  66804  16 ptlrpcd_00_17   I
  66805   8 ptlrpcd_00_18   I
  66806   6 ptlrpcd_00_19   I
  66807  28 ptlrpcd_00_20   I
  66808  50 ptlrpcd_00_21   I
  66809   1 ptlrpcd_00_22   I
  66810  53 ptlrpcd_00_23   I
  66811  29 ptlrpcd_00_24   I
  66812  31 ptlrpcd_00_25   I
  66813  24 ptlrpcd_00_26   I
  66814  33 ptlrpcd_00_27   I
  66815  52 ptlrpcd_00_28   I
  66816  38 ptlrpcd_00_29   I
  66817  51 ptlrpcd_00_30   I
  66818  20 ptlrpcd_00_31   I
  66819  43 ptlrpcd_00_32   I
  66820  47 ptlrpcd_00_33   I
  66821   7 ptlrpcd_00_34   I
  66822  42 ptlrpcd_00_35   I
  66823  32 ptlrpcd_00_36   I
  66824   4 ptlrpcd_00_37   I
  66825  49 ptlrpcd_00_38   I
  66826  45 ptlrpcd_00_39   I
  66827  42 ptlrpcd_00_40   I
  66828  26 ptlrpcd_00_41   I
  66829  36 ptlrpcd_00_42   I
  66830  62 ptlrpcd_00_43   I
  66831  33 ptlrpcd_00_44   I
  66832  30 ptlrpcd_00_45   I
  66833  31 ptlrpcd_00_46   I
  66834   5 ptlrpcd_00_47   I
  66835  52 ptlrpcd_00_48   I
  66836  49 ptlrpcd_00_49   I
  66837  47 ptlrpcd_00_50   I
  66838   6 ptlrpcd_00_51   I
  66839  36 ptlrpcd_00_52   I
  66840  20 ptlrpcd_00_53   I
  66841  16 ptlrpcd_00_54   I
  66842  12 ptlrpcd_00_55   I
  66843  50 ptlrpcd_00_56   I
  66844  43 ptlrpcd_00_57   I
  66845  36 ptlrpcd_00_58   I
  66846  29 ptlrpcd_00_59   I
  66847  63 ptlrpcd_00_60   I
  66848   6 ptlrpcd_00_61   I
  66849  52 ptlrpcd_00_62   I
  66850  20 ptlrpcd_00_63   I
  66851  66 ptlrpcd_01_00   I
  66852 102 ptlrpcd_01_01   I
  66853  86 ptlrpcd_01_02   I
  66854  65 ptlrpcd_01_03   I
  66855 120 ptlrpcd_01_04   I
  66856  79 ptlrpcd_01_05   I
  66857 103 ptlrpcd_01_06   I
  66858 113 ptlrpcd_01_07   I
  66859  84 ptlrpcd_01_08   I
  66860  67 ptlrpcd_01_09   I
  66861 121 ptlrpcd_01_10   I
  66862 118 ptlrpcd_01_11   I
  66863  87 ptlrpcd_01_12   I
  66864 113 ptlrpcd_01_13   I
  66865  93 ptlrpcd_01_14   I
  66866 120 ptlrpcd_01_15   I
  66867  69 ptlrpcd_01_16   I
  66868  73 ptlrpcd_01_17   I
  66869  99 ptlrpcd_01_18   I
  66870 102 ptlrpcd_01_19   I
  66871  94 ptlrpcd_01_20   I
  66872  83 ptlrpcd_01_21   I
  66873  96 ptlrpcd_01_22   I
  66874 106 ptlrpcd_01_23   I
  66875  95 ptlrpcd_01_24   I
  66876  64 ptlrpcd_01_25   I
  66877 114 ptlrpcd_01_26   I
  66878 126 ptlrpcd_01_27   I
  66879 102 ptlrpcd_01_28   I
  66880  70 ptlrpcd_01_29   I
  66881 103 ptlrpcd_01_30   I
  66882  86 ptlrpcd_01_31   I
  66883  83 ptlrpcd_01_32   I
  66884 114 ptlrpcd_01_33   I
  66885  90 ptlrpcd_01_34   I
  66886 116 ptlrpcd_01_35   I
  66887 119 ptlrpcd_01_36   I
  66888  80 ptlrpcd_01_37   I
  66889  93 ptlrpcd_01_38   I
  66890  94 ptlrpcd_01_39   I
  66891 115 ptlrpcd_01_40   I
  66892 119 ptlrpcd_01_41   I
  66893  79 ptlrpcd_01_42   I
  66894 118 ptlrpcd_01_43   I
  66895  94 ptlrpcd_01_44   I
  66896 105 ptlrpcd_01_45   I
  66897  89 ptlrpcd_01_46   I
  66898 106 ptlrpcd_01_47   I
  66899 120 ptlrpcd_01_48   I
  66900  82 ptlrpcd_01_49   I
  66901  86 ptlrpcd_01_50   I
  66902  71 ptlrpcd_01_51   I
  66903  68 ptlrpcd_01_52   I
  66904 125 ptlrpcd_01_53   I
  66905  70 ptlrpcd_01_54   I
  66906  80 ptlrpcd_01_55   I
  66907 121 ptlrpcd_01_56   I
  66908 110 ptlrpcd_01_57   I
  66909  93 ptlrpcd_01_58   I
  66910  77 ptlrpcd_01_59   I
  66911  86 ptlrpcd_01_60   I
  66912 124 ptlrpcd_01_61   I
  66913 127 ptlrpcd_01_62   I
  66914  84 ptlrpcd_01_63   I
  67440  37 monitor_ptlrpcd S
  67441 123 monitor_ptlrpcd S

--- 2025-05-26 02:06:15 ---
  66786  96 ptlrpcd_rcv     I
  66787  54 ptlrpcd_00_00   I
  66788  21 ptlrpcd_00_01   I
  66789  51 ptlrpcd_00_02   I
  66790  20 ptlrpcd_00_03   I
  66791   6 ptlrpcd_00_04   I
  66792  52 ptlrpcd_00_05   I
  66793  43 ptlrpcd_00_06   R
  66794  59 ptlrpcd_00_07   R
  66795  14 ptlrpcd_00_08   R
  66796   2 ptlrpcd_00_09   I
  66797   1 ptlrpcd_00_10   I
  66798   1 ptlrpcd_00_11   I
  66799  54 ptlrpcd_00_12   I
  66800  29 ptlrpcd_00_13   R
  66801  12 ptlrpcd_00_14   I
  66802  39 ptlrpcd_00_15   I
  66803  32 ptlrpcd_00_16   I
  66804  21 ptlrpcd_00_17   I
  66805  15 ptlrpcd_00_18   I
  66806   6 ptlrpcd_00_19   R
  66807  28 ptlrpcd_00_20   R
  66808  50 ptlrpcd_00_21   R
  66809   3 ptlrpcd_00_22   R
  66810  53 ptlrpcd_00_23   I
  66811  39 ptlrpcd_00_24   I
  66812  31 ptlrpcd_00_25   I
  66813  39 ptlrpcd_00_26   I
  66814  33 ptlrpcd_00_27   I
  66815  52 ptlrpcd_00_28   R
  66816  38 ptlrpcd_00_29   I
  66817  51 ptlrpcd_00_30   R
  66818  28 ptlrpcd_00_31   I
  66819  37 ptlrpcd_00_32   I
  66820  15 ptlrpcd_00_33   I
  66821  33 ptlrpcd_00_34   I
  66822  42 ptlrpcd_00_35   R
  66823  32 ptlrpcd_00_36   I
  66824  36 ptlrpcd_00_37   R
  66825  49 ptlrpcd_00_38   R
  66826  45 ptlrpcd_00_39   I
  66827  42 ptlrpcd_00_40   I
  66828  26 ptlrpcd_00_41   R
  66829  48 ptlrpcd_00_42   I
  66830  62 ptlrpcd_00_43   I
  66831  33 ptlrpcd_00_44   I
  66832  48 ptlrpcd_00_45   R
  66833  31 ptlrpcd_00_46   R
  66834  26 ptlrpcd_00_47   I
  66835   0 ptlrpcd_00_48   R
  66836  48 ptlrpcd_00_49   I
  66837  49 ptlrpcd_00_50   I
  66838   5 ptlrpcd_00_51   I
  66839  36 ptlrpcd_00_52   I
  66840  48 ptlrpcd_00_53   I
  66841  18 ptlrpcd_00_54   R
  66842  55 ptlrpcd_00_55   I
  66843  50 ptlrpcd_00_56   I
  66844  38 ptlrpcd_00_57   I
  66845   0 ptlrpcd_00_58   I
  66846   0 ptlrpcd_00_59   I
  66847  63 ptlrpcd_00_60   I
  66848   1 ptlrpcd_00_61   I
  66849  43 ptlrpcd_00_62   R
  66850  19 ptlrpcd_00_63   R
  66851 117 ptlrpcd_01_00   R
  66852 102 ptlrpcd_01_01   R
  66853 102 ptlrpcd_01_02   R
  66854 127 ptlrpcd_01_03   R
  66855 108 ptlrpcd_01_04   I
  66856 108 ptlrpcd_01_05   I
  66857 103 ptlrpcd_01_06   R
  66858 101 ptlrpcd_01_07   R
  66859  98 ptlrpcd_01_08   I
  66860  86 ptlrpcd_01_09   R
  66861 101 ptlrpcd_01_10   I
  66862  76 ptlrpcd_01_11   R
  66863  87 ptlrpcd_01_12   I
  66864  97 ptlrpcd_01_13   R
  66865  78 ptlrpcd_01_14   R
  66866  73 ptlrpcd_01_15   R
  66867  69 ptlrpcd_01_16   I
  66868 125 ptlrpcd_01_17   R
  66869  99 ptlrpcd_01_18   I
  66870 107 ptlrpcd_01_19   I
  66871 120 ptlrpcd_01_20   R
  66872 123 ptlrpcd_01_21   R
  66873  96 ptlrpcd_01_22   R
  66874 106 ptlrpcd_01_23   R
  66875  95 ptlrpcd_01_24   R
  66876  64 ptlrpcd_01_25   I
  66877 125 ptlrpcd_01_26   R
  66878 126 ptlrpcd_01_27   I
  66879 100 ptlrpcd_01_28   R
  66880  70 ptlrpcd_01_29   R
  66881 107 ptlrpcd_01_30   I
  66882  86 ptlrpcd_01_31   I
  66883  83 ptlrpcd_01_32   R
  66884 114 ptlrpcd_01_33   R
  66885  90 ptlrpcd_01_34   R
  66886 116 ptlrpcd_01_35   R
  66887  71 ptlrpcd_01_36   R
  66888  87 ptlrpcd_01_37   I
  66889  93 ptlrpcd_01_38   R
  66890  90 ptlrpcd_01_39   I
  66891 111 ptlrpcd_01_40   R
  66892 110 ptlrpcd_01_41   R
  66893  95 ptlrpcd_01_42   R
  66894 119 ptlrpcd_01_43   I
  66895  94 ptlrpcd_01_44   R
  66896 105 ptlrpcd_01_45   R
  66897  89 ptlrpcd_01_46   I
  66898  94 ptlrpcd_01_47   R
  66899 120 ptlrpcd_01_48   I
  66900  82 ptlrpcd_01_49   R
  66901 124 ptlrpcd_01_50   R
  66902 121 ptlrpcd_01_51   R
  66903  68 ptlrpcd_01_52   R
  66904  98 ptlrpcd_01_53   I
  66905 119 ptlrpcd_01_54   I
  66906  80 ptlrpcd_01_55   I
  66907 112 ptlrpcd_01_56   R
  66908  88 ptlrpcd_01_57   R
  66909  74 ptlrpcd_01_58   I
  66910  91 ptlrpcd_01_59   R
  66911  77 ptlrpcd_01_60   I
  66912  72 ptlrpcd_01_61   R
  66913  77 ptlrpcd_01_62   I
  66914 110 ptlrpcd_01_63   R
  67440  37 monitor_ptlrpcd S
  67441 115 monitor_ptlrpcd S

--- 2025-05-26 02:06:16 ---
  66786  96 ptlrpcd_rcv     I
  66787  39 ptlrpcd_00_00   R
  66788  12 ptlrpcd_00_01   I
  66789  55 ptlrpcd_00_02   I
  66790   2 ptlrpcd_00_03   I
  66791   7 ptlrpcd_00_04   I
  66792  42 ptlrpcd_00_05   R
  66793  40 ptlrpcd_00_06   I
  66794  46 ptlrpcd_00_07   R
  66795  42 ptlrpcd_00_08   R
  66796  44 ptlrpcd_00_09   I
  66797  32 ptlrpcd_00_10   R
  66798   3 ptlrpcd_00_11   R
  66799  63 ptlrpcd_00_12   R
  66800  11 ptlrpcd_00_13   R
  66801  55 ptlrpcd_00_14   R
  66802   4 ptlrpcd_00_15   R
  66803  32 ptlrpcd_00_16   R
  66804  18 ptlrpcd_00_17   R
  66805  38 ptlrpcd_00_18   R
  66806   0 ptlrpcd_00_19   I
  66807   5 ptlrpcd_00_20   R
  66808  12 ptlrpcd_00_21   R
  66809   3 ptlrpcd_00_22   R
  66810  43 ptlrpcd_00_23   I
  66811  40 ptlrpcd_00_24   I
  66812  20 ptlrpcd_00_25   I
  66813  38 ptlrpcd_00_26   R
  66814  33 ptlrpcd_00_27   R
  66815  11 ptlrpcd_00_28   R
  66816  21 ptlrpcd_00_29   R
  66817  32 ptlrpcd_00_30   R
  66818  18 ptlrpcd_00_31   R
  66819  63 ptlrpcd_00_32   R
  66820   0 ptlrpcd_00_33   R
  66821   6 ptlrpcd_00_34   R
  66822  43 ptlrpcd_00_35   R
  66823   2 ptlrpcd_00_36   R
  66824  34 ptlrpcd_00_37   R
  66825  55 ptlrpcd_00_38   R
  66826  51 ptlrpcd_00_39   R
  66827  45 ptlrpcd_00_40   R
  66828   2 ptlrpcd_00_41   R
  66829   9 ptlrpcd_00_42   R
  66830   2 ptlrpcd_00_43   R
  66831  37 ptlrpcd_00_44   R
  66832  44 ptlrpcd_00_45   I
  66833  35 ptlrpcd_00_46   I
  66834  46 ptlrpcd_00_47   R
  66835  35 ptlrpcd_00_48   I
  66836  33 ptlrpcd_00_49   R
  66837  48 ptlrpcd_00_50   R
  66838   1 ptlrpcd_00_51   R
  66839  39 ptlrpcd_00_52   R
  66840  50 ptlrpcd_00_53   R
  66841  20 ptlrpcd_00_54   R
  66842  34 ptlrpcd_00_55   R
  66843  39 ptlrpcd_00_56   R
  66844  36 ptlrpcd_00_57   R
  66845  11 ptlrpcd_00_58   I
  66846   4 ptlrpcd_00_59   I
  66847  20 ptlrpcd_00_60   R
  66848   7 ptlrpcd_00_61   I
  66849  51 ptlrpcd_00_62   R
  66850  19 ptlrpcd_00_63   I
  66851 117 ptlrpcd_01_00   R
  66852  82 ptlrpcd_01_01   R
  66853  98 ptlrpcd_01_02   I
  66854  92 ptlrpcd_01_03   I
  66855 104 ptlrpcd_01_04   I
  66856  92 ptlrpcd_01_05   I
  66857 100 ptlrpcd_01_06   I
  66858 107 ptlrpcd_01_07   I
  66859 100 ptlrpcd_01_08   I
  66860 122 ptlrpcd_01_09   I
  66861  69 ptlrpcd_01_10   I
  66862 104 ptlrpcd_01_11   I
  66863  80 ptlrpcd_01_12   R
  66864  99 ptlrpcd_01_13   R
  66865  99 ptlrpcd_01_14   I
  66866 107 ptlrpcd_01_15   I
  66867  82 ptlrpcd_01_16   I
  66868 121 ptlrpcd_01_17   R
  66869 102 ptlrpcd_01_18   I
  66870 104 ptlrpcd_01_19   I
  66871 122 ptlrpcd_01_20   I
  66872 102 ptlrpcd_01_21   I
  66873 107 ptlrpcd_01_22   R
  66874 104 ptlrpcd_01_23   I
  66875 104 ptlrpcd_01_24   I
  66876  64 ptlrpcd_01_25   R
  66877  79 ptlrpcd_01_26   I
  66878 126 ptlrpcd_01_27   R
  66879 112 ptlrpcd_01_28   I
  66880  69 ptlrpcd_01_29   I
  66881 101 ptlrpcd_01_30   I
  66882 103 ptlrpcd_01_31   I
  66883  98 ptlrpcd_01_32   R
  66884 114 ptlrpcd_01_33   I
  66885 102 ptlrpcd_01_34   R
  66886 116 ptlrpcd_01_35   I
  66887  69 ptlrpcd_01_36   R
  66888  81 ptlrpcd_01_37   R
  66889  75 ptlrpcd_01_38   I
  66890  96 ptlrpcd_01_39   R
  66891 100 ptlrpcd_01_40   I
  66892  77 ptlrpcd_01_41   R
  66893  90 ptlrpcd_01_42   R
  66894 107 ptlrpcd_01_43   R
  66895  69 ptlrpcd_01_44   R
  66896 108 ptlrpcd_01_45   I
  66897 100 ptlrpcd_01_46   R
  66898 108 ptlrpcd_01_47   I
  66899  85 ptlrpcd_01_48   I
  66900 108 ptlrpcd_01_49   I
  66901 103 ptlrpcd_01_50   I
  66902  97 ptlrpcd_01_51   R
  66903  85 ptlrpcd_01_52   R
  66904  70 ptlrpcd_01_53   R
  66905  93 ptlrpcd_01_54   R
  66906  93 ptlrpcd_01_55   I
  66907  90 ptlrpcd_01_56   I
  66908  93 ptlrpcd_01_57   I
  66909  97 ptlrpcd_01_58   I
  66910  75 ptlrpcd_01_59   I
  66911 119 ptlrpcd_01_60   I
  66912 114 ptlrpcd_01_61   I
  66913 112 ptlrpcd_01_62   I
  66914 125 ptlrpcd_01_63   I
  67440  37 monitor_ptlrpcd S
  67441  59 monitor_ptlrpcd S

--- 2025-05-26 02:06:17 ---
  66786  96 ptlrpcd_rcv     I
  66787  21 ptlrpcd_00_00   I
  66788   6 ptlrpcd_00_01   R
  66789  22 ptlrpcd_00_02   R
  66790  46 ptlrpcd_00_03   R
  66791  12 ptlrpcd_00_04   R
  66792  50 ptlrpcd_00_05   I
  66793  27 ptlrpcd_00_06   R
  66794  17 ptlrpcd_00_07   R
  66795  43 ptlrpcd_00_08   R
  66796   2 ptlrpcd_00_09   I
  66797  50 ptlrpcd_00_10   I
  66798  21 ptlrpcd_00_11   I
  66799  62 ptlrpcd_00_12   R
  66800  45 ptlrpcd_00_13   R
  66801  60 ptlrpcd_00_14   R
  66802  18 ptlrpcd_00_15   R
  66803  57 ptlrpcd_00_16   R
  66804  54 ptlrpcd_00_17   R
  66805  59 ptlrpcd_00_18   I
  66806  49 ptlrpcd_00_19   I
  66807   7 ptlrpcd_00_20   R
  66808  41 ptlrpcd_00_21   R
  66809  48 ptlrpcd_00_22   R
  66810  59 ptlrpcd_00_23   R
  66811  40 ptlrpcd_00_24   R
  66812  21 ptlrpcd_00_25   I
  66813  20 ptlrpcd_00_26   R
  66814   3 ptlrpcd_00_27   I
  66815   5 ptlrpcd_00_28   R
  66816  15 ptlrpcd_00_29   I
  66817  51 ptlrpcd_00_30   R
  66818  34 ptlrpcd_00_31   I
  66819  56 ptlrpcd_00_32   I
  66820   0 ptlrpcd_00_33   R
